class1	class2	scaledPatristicDistance
39	30	0.1806556
39	31	0.1766095
39	32	0.1766253
39	33	0.1882799
39	34	0.1882799
39	35	0.1900838
39	36	0.1778249
39	37	0.1778249
39	38	0.2150533
40	0	0.1763712
40	1	0.1763712
40	2	0.2511175
40	3	0.1794251
40	4	0.1794251
40	5	0.1834691
40	6	0.1880982
40	7	0.1746587
40	8	0.1746587
40	9	0.17528
40	10	0.1810246
40	11	0.1810246
40	12	0.1891643
40	13	0.18918
40	14	0.1827623
40	15	0.1759759
40	16	0.1759759
40	17	0.1814278
40	18	0.182395
40	19	0.1868657
40	20	0.1756098
40	21	0.1756098
40	22	0.1813659
40	23	0.1809732
40	24	0.1777174
40	25	0.1770271
40	26	0.1742055
40	27	0.1741898
40	28	0.1868837
40	29	0.1991916
40	30	0.2811846
40	31	0.2122585
40	32	0.2122585
40	33	0.2244123
40	34	0.1759178
40	35	0.1759178
40	36	0.2540568
40	37	0.2034027
40	38	0.2033869
40	39	0.2334063
41	0	0.2487712
41	1	0.230507
41	2	0.2233207
41	3	0.2233207
41	4	0.2581086
41	5	0.4191143
41	6	0.4191143
41	7	0.5458044
41	8	0.3452339
41	9	0.3452339
41	10	0.3452339
41	11	0.3452339
41	12	0.3452339
41	13	0.3452339
41	14	0.2666123
41	15	0.2657914
41	16	0.2657914
41	17	0.2767027
41	18	0.2617038
41	19	0.2617038
41	20	0.2625208
41	21	0.2675484
41	22	0.2614729
41	23	0.2614571
41	24	0.2715898
41	25	0.2683314
41	26	0.2620063
41	27	0.262022
41	28	0.2612054
41	29	0.2612054
41	30	0.2645937
41	31	0.2645779
41	32	0.2646279
41	33	0.2688971
41	34	0.2731214
41	35	0.2731214
41	36	0.2762666
41	37	0.2762509
41	38	0.2810688
41	39	0.2708301
41	40	0.2708301
42	0	0.2712314
42	1	0.2777584
42	2	0.2777426
42	3	0.2817676
42	4	0.2799724
42	5	0.2635094
42	6	0.2635094
42	7	0.2842338
42	8	0.2854237
42	9	0.2876785
42	10	0.2740502
42	11	0.2740502
42	12	0.2758094
42	13	0.2983227
42	14	0.3735871
42	15	0.3764184
42	16	0.3946614
42	17	0.4190568
42	18	0.3732835
42	19	0.3122092
42	20	0.3121935
42	21	0.3255793
42	22	0.3361885
42	23	0.3732835
42	24	0.4686273
42	25	0.4686273
42	26	0.5047401
42	27	0.5017112
42	28	0.4087227
42	29	0.4087227
42	30	0.4741765
42	31	0.2710914
42	32	0.2710757
42	33	0.2758951
42	34	0.2758794
42	35	0.3026772
42	36	0.3115201
42	37	0.3137998
42	38	0.3072204
42	39	0.3072204
42	40	0.3951725
42	41	0.3871818
43	0	0.3255382
43	1	0.3042553
43	2	0.3042553
43	3	0.4624607
43	4	0.5062357
43	5	0.490855
43	6	0.490855
43	7	0.490855
43	8	0.4310924
43	9	0.4311081
43	10	0.3926602
43	11	0.3926602
43	12	0.3936326
43	13	0.3438267
43	14	0.3438267
43	15	0.3582377
43	16	0.276491
43	17	0.276491
43	18	0.3843475
43	19	0.3680914
43	20	0.3680914
43	21	0.4637715
43	22	0.3641157
43	23	0.3641157
43	24	0.3879452
43	25	0.3914088
43	26	0.3914088
43	27	0.4635265
43	28	0.4344303
43	29	0.4344303
43	30	0.4344303
43	31	0.4344303
43	32	0.4344303
43	33	0.4344303
43	34	0.4344303
43	35	0.4344303
43	36	0.3499601
43	37	0.3499759
43	38	0.3751739
43	39	0.2729203
43	40	0.2729203
43	41	0.258547
43	42	0.2585313
44	0	0.3369858
44	1	0.3370015
44	2	0.3687796
44	3	0.3805052
44	4	0.4009545
44	5	0.3185387
44	6	0.2641366
44	7	0.2641366
44	8	0.2766393
44	9	0.28418
44	10	0.3234572
44	11	0.3424969
44	12	0.3416593
44	13	0.3416593
44	14	0.4291933
44	15	0.4939535
44	16	0.5332335
44	17	0.4373319
44	18	0.4373319
44	19	0.4373319
44	20	0.4373319
44	21	0.4373319
44	22	0.4373319
44	23	0.4373319
44	24	0.4373319
44	25	0.4373319
44	26	0.3126011
44	27	0.3125854
44	28	0.3671444
44	29	0.3829007
44	30	0.3628062
44	31	0.3628062
44	32	0.3095691
44	33	0.287107
44	34	0.2866372
44	35	0.2866372
44	36	0.2869289
44	37	0.3060616
44	38	0.3060616
44	39	0.3095226
44	40	0.3854862
44	41	0.3925416
44	42	0.311403
44	43	0.311403
45	0	0.4270278
45	1	0.4270278
45	2	0.4915607
45	3	0.4915765
45	4	0.5234653
45	5	0.5234811
45	6	0.5110311
45	7	0.4762382
45	8	0.4762224
45	9	0.5383152
45	10	0.391485
45	11	0.391485
45	12	0.5557637
45	13	0.5568078
45	14	0.4679024
45	15	0.4679024
45	16	0.6488458
45	17	0.5750552
